#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,ueberzugpp,"enables previews in the lf file manager.(SHOULD REPLACE UEBERZUG)"
,bc,"is used for a dropdown calculator."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,bat,"can highlight code output and display files."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme."
,lxappearance,"theme changer"
,python-qdarkstyle,"provides a dark Qt theme."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,librewolf-bin,"is an elegant browser with built-in adblocking, tor and other features."
A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-alsa,"audio system extras."
,pipewire-jack,"audio system extras."
,wireplumber,"audio system extras."
,helvum,"audio system extras."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/GabriWar/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/GabriWar/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/GabriWar/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/GabriWar/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
A,cozette-otb,"bitmap font."
A,siji-git,"bitmap emojis font."
A,ttf-font-awesome,"emojis font."
A,font-manager-git,"font manager."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
A,gdu,"disk usage tool"
,btop,"best system monitor"
A,nodejs-mapscii,"actually useful to view maps from terminal"
,exa,"ls but better"
,speedtest-cli,"ookla speedtest cli"
,fd, "find but better"
,micro, "the best text editor"
,python2, "needed"
,python-pywal, "muy bueno"
A,no-more-secrets-git,"cool efx"
,discord,"sorry"
A,betterdiscordctl-git,"even more sorry"
A,pywal-discord,"yay themes"
,lutris,"more gameplays"
A,cava,"audio visualizer"
A,fetchmirrors,"pacman mirrors yay"
,alsa-utils,"sound"
,alsa-firmware,"sound"
,calcurse,"dependency"
,networkmanager,"nmtui"
,bmon,"bmon"
,nvidia-utils,"for nvidia gpus"
,nvidia-settings,"gpu settings"
,nvtop,"nvidia mon tool"
,xorg-server-devel,"xorg server devel pack"
,opencl-nvidia,"opencl for nvidia"
,nerd-fonts,"may take a while"
,arch-install-scripts,"the arch install scripts"
A,pamac-all-git,"package manager"
A,google-chrome, "casual chrome browser"
A,stacer,"ram, cache cleaner"
,bat,"better cat"
A,goverlay-bin,"cpu/gpu overlay"
A,picom-git,"compositor"
,htop,"process manager"
A,light-git,"control system backlight with dwm"
A,pcmanfm-git,"gui file manager"
A,gamemode-git,"more fps"
A,ly-git, cool display manager
,mpv, media player
,lm_sensors, detect and control fans/sensors
A,  mangohud-git, fps meter
A, linux-zen-headers, kernel sources for linux zen
, linux-headers, kernel sources for linux default
